element_id,element_type,floor,length_m,width_m,height_m,quantity_elements,material_type,unit_cost_per_sqm,wastage_percent,planned_start_week,planned_end_week,formwork_area_per_element_sqm,total_formwork_area_sqm
1,Column,3,0.3,0.45,3.0,35,Steel,962,8,2,6,4.5,170.1
2,Slab,20,6.0,5.0,0.15,1,Plywood,528,16,19,23,3.3,3.828
3,Slab,17,10.0,4.0,0.15,1,Plywood,485,12,16,20,4.2,4.704
4,Column,11,0.3,0.45,3.3,27,Steel,977,9,11,13,4.95,145.678
5,Column,11,0.4,0.4,2.8,11,Steel,921,9,11,14,4.48,53.715
6,Beam,22,0.23,0.45,5.5,27,Steel,902,11,23,25,7.48,224.176
7,Slab,3,6.0,5.0,0.15,1,Plywood,530,13,2,4,3.3,3.729
8,Slab,18,8.0,4.0,0.15,1,Plywood,411,12,18,22,3.6,4.032
9,Slab,6,10.0,4.0,0.15,1,Plywood,488,16,5,7,4.2,4.872
10,Beam,3,0.25,0.5,5.5,11,Steel,872,12,3,5,8.25,101.64
11,Column,14,0.3,0.6,3.2,19,Steel,889,9,13,16,5.76,119.29
12,Beam,25,0.23,0.45,5.5,13,Steel,916,12,24,27,7.48,108.909
13,Column,19,0.35,0.55,3.0,30,Steel,918,8,19,21,5.4,174.96
14,Slab,20,10.0,4.0,0.15,1,Plywood,473,16,20,22,4.2,4.872
15,Column,18,0.4,0.4,3.3,30,Steel,955,8,17,21,5.28,171.072
16,Column,20,0.35,0.55,3.3,33,Steel,913,9,20,22,5.94,213.662
17,Beam,13,0.23,0.45,4.0,6,Steel,929,12,13,15,5.44,36.557
18,Beam,4,0.23,0.45,6.0,15,Steel,891,10,5,7,8.16,134.64
19,Beam,21,0.23,0.6,5.5,28,Steel,967,13,21,25,9.13,288.873
20,Beam,12,0.23,0.45,6.0,28,Steel,944,12,13,15,8.16,255.898
21,Wall,13,3.0,0.2,3.0,21,Plywood,587,9,12,15,19.2,439.488
22,Slab,10,10.0,4.0,0.15,1,Plywood,513,16,10,13,4.2,4.872
23,Wall,5,6.0,0.2,3.0,23,Plywood,553,9,6,9,37.2,932.604
24,Beam,24,0.3,0.6,6.0,22,Steel,950,12,23,25,10.8,266.112
25,Beam,20,0.3,0.6,5.0,10,Steel,847,12,19,23,9.0,100.8
26,Beam,17,0.25,0.5,6.0,16,Steel,873,10,18,21,9.0,158.4
27,Beam,11,0.3,0.6,4.0,27,Steel,888,13,10,12,7.2,219.672
28,Column,21,0.35,0.55,3.2,10,Steel,950,10,22,24,5.76,63.36
29,Beam,14,0.23,0.45,5.0,21,Steel,911,12,15,17,6.8,159.936
30,Column,12,0.4,0.4,2.8,33,Steel,986,9,13,17,4.48,161.146
31,Column,12,0.35,0.55,3.0,19,Steel,980,11,13,15,5.4,113.886
32,Wall,6,4.0,0.2,3.0,21,Plywood,532,10,7,9,25.2,582.12
33,Column,3,0.4,0.4,2.8,12,Steel,965,9,4,6,4.48,58.598
34,Beam,14,0.23,0.6,4.0,20,Steel,969,12,13,15,6.64,148.736
35,Beam,23,0.25,0.5,5.0,19,Steel,1006,13,22,26,7.5,161.025
36,Column,2,0.4,0.4,3.3,26,Steel,922,8,3,7,5.28,148.262
37,Wall,22,4.0,0.2,3.0,7,Plywood,517,11,22,26,25.2,195.804
38,Column,21,0.3,0.6,3.2,23,Steel,912,8,20,24,5.76,143.078
39,Wall,7,3.0,0.2,3.0,17,Plywood,484,12,7,11,19.2,365.568
40,Slab,16,7.5,4.0,0.15,1,Plywood,492,16,15,18,3.45,4.002
41,Column,5,0.35,0.55,3.3,13,Steel,1004,11,5,8,5.94,85.714
42,Column,19,0.35,0.55,3.2,37,Steel,928,11,20,23,5.76,236.563
43,Column,18,0.3,0.6,2.8,8,Steel,918,10,17,19,5.04,44.352
44,Beam,9,0.23,0.6,4.5,15,Steel,915,10,8,12,7.47,123.255
45,Column,2,0.3,0.6,2.8,10,Steel,991,10,3,6,5.04,55.44
46,Wall,25,4.5,0.2,3.0,16,Plywood,550,11,25,29,28.2,500.832
47,Column,12,0.4,0.4,2.8,33,Steel,983,8,11,15,4.48,159.667
48,Slab,23,7.5,4.0,0.15,1,Plywood,452,15,22,25,3.45,3.968
49,Column,17,0.3,0.6,3.3,30,Steel,932,10,17,19,5.94,196.02
50,Wall,20,4.0,0.2,3.0,15,Plywood,488,11,19,22,25.2,419.58
51,Column,19,0.3,0.45,2.8,31,Steel,936,10,18,22,4.2,143.22
52,Beam,5,0.3,0.6,5.5,28,Steel,948,10,4,6,9.9,304.92
53,Beam,10,0.23,0.6,5.0,14,Steel,844,10,11,13,8.3,127.82
54,Column,12,0.35,0.55,3.0,38,Steel,924,9,12,14,5.4,223.668
55,Slab,13,10.0,4.0,0.15,1,Plywood,504,13,14,18,4.2,4.746
56,Column,2,0.35,0.55,2.8,34,Steel,1006,10,1,3,5.04,188.496
57,Beam,14,0.3,0.6,5.5,24,Steel,929,13,13,15,9.9,268.488
58,Beam,4,0.23,0.6,4.5,20,Steel,905,13,4,6,7.47,168.822
59,Beam,19,0.23,0.45,6.0,11,Steel,885,10,20,22,8.16,98.736
60,Column,18,0.3,0.45,3.0,23,Steel,925,8,18,22,4.5,111.78
61,Column,24,0.23,0.45,2.8,28,Steel,899,9,23,26,3.808,116.22
62,Column,19,0.4,0.4,3.0,19,Steel,936,10,18,22,4.8,100.32
63,Column,10,0.3,0.45,3.0,34,Steel,976,11,9,12,4.5,169.83
64,Column,25,0.35,0.55,3.3,15,Steel,968,8,26,28,5.94,96.228
65,Wall,11,4.5,0.2,3.0,7,Plywood,559,9,10,12,28.2,215.166
66,Beam,9,0.23,0.45,6.0,21,Steel,926,13,8,10,8.16,193.637
67,Beam,23,0.23,0.6,6.0,19,Steel,887,11,23,25,9.96,210.056
68,Beam,10,0.25,0.5,6.0,22,Steel,898,10,11,14,9.0,217.8
69,Column,2,0.3,0.45,2.8,15,Steel,929,9,2,4,4.2,68.67
70,Beam,12,0.25,0.5,4.5,18,Steel,910,12,13,16,6.75,136.08
71,Column,20,0.35,0.55,3.3,9,Steel,945,8,20,22,5.94,57.737
72,Column,5,0.3,0.6,3.2,15,Steel,1006,8,6,10,5.76,93.312
73,Beam,12,0.25,0.5,5.5,21,Steel,966,13,11,14,8.25,195.772
74,Beam,4,0.25,0.5,5.5,12,Steel,873,12,4,8,8.25,110.88
75,Wall,18,4.5,0.2,3.0,9,Plywood,525,10,18,20,28.2,279.18
76,Column,12,0.4,0.4,2.8,14,Steel,1030,8,13,16,4.48,67.738
77,Beam,9,0.3,0.6,4.5,11,Steel,885,13,8,11,8.1,100.683
78,Column,6,0.3,0.6,3.0,32,Steel,950,10,5,7,5.4,190.08
79,Column,15,0.3,0.6,3.2,12,Steel,958,10,14,18,5.76,76.032
80,Slab,17,6.0,5.0,0.15,1,Plywood,475,14,18,22,3.3,3.762
81,Column,24,0.3,0.6,3.0,16,Steel,985,10,25,29,5.4,95.04
82,Beam,11,0.3,0.6,6.0,8,Steel,904,11,10,13,10.8,95.904
83,Beam,5,0.3,0.6,5.5,27,Steel,911,11,5,9,9.9,296.703
84,Column,21,0.3,0.6,3.3,7,Steel,977,10,21,24,5.94,45.738
85,Wall,16,5.0,0.2,3.0,8,Plywood,504,11,17,19,31.2,277.056
86,Beam,18,0.23,0.45,4.5,21,Steel,943,12,18,22,6.12,143.942
87,Slab,3,6.0,4.0,0.15,1,Plywood,445,12,4,7,3.0,3.36
88,Beam,8,0.23,0.6,6.0,6,Steel,880,13,9,12,9.96,67.529
89,Wall,20,6.0,0.2,3.0,9,Plywood,551,11,20,22,37.2,371.628
90,Column,21,0.23,0.45,2.8,31,Steel,937,11,22,24,3.808,131.033
91,Beam,11,0.25,0.5,6.0,11,Steel,943,10,10,13,9.0,108.9
92,Slab,21,6.0,4.0,0.15,1,Plywood,420,12,20,24,3.0,3.36
93,Column,22,0.23,0.45,3.0,12,Steel,958,9,23,26,4.08,53.366
94,Beam,10,0.23,0.6,4.5,28,Steel,1012,12,9,11,7.47,234.259
95,Wall,23,4.0,0.2,3.0,13,Plywood,517,9,23,26,25.2,357.084
96,Beam,8,0.23,0.6,4.5,13,Steel,923,10,9,11,7.47,106.821
97,Slab,6,6.0,4.0,0.15,1,Plywood,445,12,6,9,3.0,3.36
98,Beam,18,0.23,0.6,5.5,6,Steel,864,10,19,22,9.13,60.258
99,Slab,16,10.0,4.0,0.15,1,Plywood,472,15,17,21,4.2,4.83
100,Wall,4,4.0,0.2,3.0,7,Plywood,509,11,3,5,25.2,195.804
101,Beam,21,0.25,0.5,5.0,29,Steel,881,13,21,24,7.5,245.775
102,Column,5,0.23,0.45,3.2,38,Steel,922,9,6,10,4.352,180.26
103,Column,21,0.3,0.45,3.2,11,Steel,962,8,22,26,4.8,57.024
104,Beam,1,0.23,0.45,6.0,24,Steel,921,13,1,5,8.16,221.299
105,Slab,20,6.0,5.0,0.15,1,Plywood,515,14,20,24,3.3,3.762
106,Beam,20,0.3,0.6,4.0,17,Steel,924,12,19,23,7.2,137.088
107,Column,20,0.23,0.45,3.2,9,Steel,1004,10,20,23,4.352,43.085
108,Column,17,0.23,0.45,2.8,39,Steel,968,10,16,18,3.808,163.363
109,Beam,12,0.25,0.5,5.5,11,Steel,975,12,13,15,8.25,101.64
110,Slab,18,6.0,5.0,0.15,1,Plywood,470,12,19,23,3.3,3.696
111,Column,7,0.35,0.55,3.2,27,Steel,942,9,6,8,5.76,169.517
112,Beam,20,0.3,0.6,5.5,26,Steel,805,11,19,21,9.9,285.714
113,Slab,14,6.0,5.0,0.15,1,Plywood,444,15,14,18,3.3,3.795
114,Wall,12,4.5,0.2,3.0,13,Plywood,542,11,13,16,28.2,406.926
115,Column,13,0.4,0.4,3.0,17,Steel,917,8,14,17,4.8,88.128
116,Wall,15,4.0,0.2,3.0,16,Plywood,506,10,14,16,25.2,443.52
117,Beam,1,0.23,0.45,6.0,28,Steel,870,13,1,4,8.16,258.182
118,Slab,4,7.5,4.0,0.15,1,Plywood,459,13,4,8,3.45,3.898
119,Column,7,0.3,0.6,3.3,15,Steel,987,9,7,10,5.94,97.119
120,Beam,3,0.3,0.6,5.0,5,Steel,887,10,2,4,9.0,49.5
121,Beam,11,0.23,0.45,6.0,5,Steel,979,12,12,14,8.16,45.696
122,Column,17,0.3,0.45,2.8,36,Steel,904,8,18,21,4.2,163.296
123,Beam,17,0.23,0.45,4.0,29,Steel,892,12,18,22,5.44,176.691
124,Beam,12,0.23,0.45,6.0,17,Steel,844,10,11,15,8.16,152.592
125,Beam,22,0.23,0.6,4.0,15,Steel,856,12,23,25,6.64,111.552
126,Column,15,0.3,0.45,2.8,11,Steel,923,11,15,18,4.2,51.282
127,Beam,2,0.25,0.5,4.0,23,Steel,946,13,3,5,6.0,155.94
128,Column,20,0.3,0.6,3.3,6,Steel,989,11,20,24,5.94,39.56
129,Wall,15,5.0,0.2,3.0,19,Plywood,573,10,15,17,31.2,652.08
130,Wall,16,5.0,0.2,3.0,13,Plywood,501,9,16,18,31.2,442.104
131,Column,15,0.35,0.55,2.8,29,Steel,947,10,14,17,5.04,160.776
132,Column,14,0.35,0.55,3.2,25,Steel,930,10,14,16,5.76,158.4
133,Column,3,0.3,0.45,2.8,35,Steel,907,11,4,8,4.2,163.17
134,Beam,14,0.25,0.5,5.5,13,Steel,947,11,13,16,8.25,119.048
135,Wall,20,4.0,0.2,3.0,24,Plywood,540,12,19,22,25.2,677.376
136,Beam,8,0.23,0.45,4.5,18,Steel,927,13,7,11,6.12,124.481
137,Column,16,0.23,0.45,3.0,14,Steel,967,11,16,19,4.08,63.403
138,Column,1,0.4,0.4,2.8,29,Steel,914,10,1,3,4.48,142.912
139,Column,9,0.3,0.45,2.8,25,Steel,874,10,9,11,4.2,115.5
140,Slab,11,6.0,5.0,0.15,1,Plywood,478,14,10,14,3.3,3.762
141,Beam,25,0.23,0.45,6.0,26,Steel,968,12,24,28,8.16,237.619
142,Beam,6,0.23,0.6,6.0,7,Steel,906,13,5,7,9.96,78.784
143,Column,7,0.35,0.55,3.3,39,Steel,973,9,7,9,5.94,252.509
144,Wall,11,3.0,0.2,3.0,11,Plywood,504,11,10,14,19.2,234.432
145,Column,25,0.4,0.4,3.0,24,Steel,957,10,25,29,4.8,126.72
146,Slab,22,7.5,4.0,0.15,1,Plywood,452,12,22,24,3.45,3.864
147,Wall,1,4.0,0.2,3.0,10,Plywood,567,9,1,3,25.2,274.68
148,Beam,6,0.3,0.6,5.5,6,Steel,1024,13,5,8,9.9,67.122
149,Wall,21,4.5,0.2,3.0,8,Plywood,530,12,22,25,28.2,252.672
150,Column,2,0.3,0.6,3.3,34,Steel,895,8,2,5,5.94,218.117
151,Slab,22,6.0,4.0,0.15,1,Plywood,487,14,22,25,3.0,3.42
152,Column,8,0.3,0.45,3.2,24,Steel,957,9,9,12,4.8,125.568
153,Beam,23,0.3,0.6,5.5,14,Steel,907,11,22,26,9.9,153.846
154,Column,8,0.4,0.4,2.8,7,Steel,957,8,9,11,4.48,33.869
155,Column,11,0.4,0.4,3.3,28,Steel,986,10,10,12,5.28,162.624
156,Column,17,0.35,0.55,3.2,13,Steel,953,9,17,20,5.76,81.619
157,Column,4,0.3,0.45,2.8,23,Steel,918,11,3,6,4.2,107.226
158,Beam,14,0.3,0.6,6.0,12,Steel,956,10,13,15,10.8,142.56
159,Beam,13,0.3,0.6,5.0,11,Steel,893,13,13,17,9.0,111.87
160,Column,20,0.3,0.45,3.0,23,Steel,903,9,20,22,4.5,112.815
161,Wall,25,6.0,0.2,3.0,11,Plywood,578,10,24,26,37.2,450.12
