element_id,element_type,floor,length_m,width_m,height_m,quantity_elements,material_type,unit_cost_per_sqm,wastage_percent,planned_start_week,planned_end_week,formwork_area_per_element_sqm,total_formwork_area_sqm,boq_area_sqm,actual_area_sqm,boq_adjustment_factor,actual_cost,duration_weeks,weekly_area_demand_sqm
1,Column,3,0.3,0.45,3.0,35,Steel,962,8,2,6,4.5,170.1,192.5849771578108,170.1,0.8832464635110876,179041.84088526785,5,34.019999999999996
2,Slab,20,6.0,5.0,0.15,1,Plywood,528,16,19,23,3.3,3.828,3.949208000211257,3.828,0.9693082764430809,2207.633276737684,5,0.7656
3,Slab,17,10.0,4.0,0.15,1,Plywood,485,12,16,20,4.2,4.704,5.445253384578943,4.704,0.8638716452244102,2259.8553103429476,5,0.9408
4,Column,11,0.3,0.45,3.3,27,Steel,977,9,11,13,4.95,145.678,161.587553921193,145.678,0.9015422070876067,136254.44916204,3,48.559333333333335
5,Column,11,0.4,0.4,2.8,11,Steel,921,9,11,14,4.48,53.715,49.86112087253553,53.715,1.0772922682046497,50003.82377001425,4,13.42875
6,Beam,22,0.23,0.45,5.5,27,Steel,902,11,23,25,7.48,224.176,267.37173489015635,224.176,0.8384431514127612,198451.21876536202,3,74.72533333333332
7,Slab,3,6.0,5.0,0.15,1,Plywood,530,13,2,4,3.3,3.729,4.207586984616609,3.729,0.8862561876043503,2033.9963953335043,3,1.243
8,Slab,18,8.0,4.0,0.15,1,Plywood,411,12,18,22,3.6,4.032,4.5796233836630025,4.032,0.8804217426226462,1898.8794760091953,5,0.8064
9,Slab,6,10.0,4.0,0.15,1,Plywood,488,16,5,7,4.2,4.872,4.5720508855185775,4.872,1.0656049379134154,2344.759940579303,3,1.6239999999999999
10,Beam,3,0.25,0.5,5.5,11,Steel,872,12,3,5,8.25,101.64,105.20916801831164,101.64,0.9660755038221533,89850.94062309865,3,33.88
11,Column,14,0.3,0.6,3.2,19,Steel,889,9,13,16,5.76,119.29,120.63074889321139,119.29,0.9888855129764776,116125.87157193084,4,29.8225
12,Beam,25,0.23,0.45,5.5,13,Steel,916,12,24,27,7.48,108.909,128.29801445115373,108.909,0.8488751791358734,104931.89226640348,4,27.22725
13,Column,19,0.35,0.55,3.0,30,Steel,918,8,19,21,5.4,174.96,191.25919242279392,174.96,0.9147795605726327,153993.70464472644,3,58.32
14,Slab,20,10.0,4.0,0.15,1,Plywood,473,16,20,22,4.2,4.872,5.587348373956645,4.872,0.8719699710705392,2263.7547064983933,3,1.6239999999999999
15,Column,18,0.4,0.4,3.3,30,Steel,955,8,17,21,5.28,171.072,176.72152614653675,171.072,0.9680314771509376,185764.11926032457,5,34.2144
16,Column,20,0.35,0.55,3.3,33,Steel,913,9,20,22,5.94,213.662,206.8614839321937,213.662,1.032874733075179,189344.68500271352,3,71.22066666666667
17,Beam,13,0.23,0.45,4.0,6,Steel,929,12,13,15,5.44,36.557,38.98348681768136,36.557,0.9377560342657497,36577.11511869229,3,12.185666666666668
18,Beam,4,0.23,0.45,6.0,15,Steel,891,10,5,7,8.16,134.64,123.75370660855984,134.64,1.0879674127731311,132976.17685914136,3,44.879999999999995
19,Beam,21,0.23,0.6,5.5,28,Steel,967,13,21,25,9.13,288.873,331.7097898641039,288.873,0.8708606403155799,280202.7411460882,5,57.7746
20,Beam,12,0.23,0.45,6.0,28,Steel,944,12,13,15,8.16,255.898,278.80069692196145,255.898,0.9178527988817328,264520.4132479484,3,85.29933333333334
21,Wall,13,3.0,0.2,3.0,21,Plywood,587,9,12,15,19.2,439.488,495.4903394143923,439.488,0.8869759206999271,253846.3763726457,4,109.872
22,Slab,10,10.0,4.0,0.15,1,Plywood,513,16,10,13,4.2,4.872,4.902975155018615,4.872,0.993682375692459,2516.706522580397,4,1.218
23,Wall,5,6.0,0.2,3.0,23,Plywood,553,9,6,9,37.2,932.604,1110.9266581028353,932.604,0.839482960641738,522106.7073459554,4,233.151
24,Beam,24,0.3,0.6,6.0,22,Steel,950,12,23,25,10.8,266.112,310.80187435118785,266.112,0.8562110526376978,290547.1085597151,3,88.70400000000001
25,Beam,20,0.3,0.6,5.0,10,Steel,847,12,19,23,9.0,100.8,114.25831695151057,100.8,0.8822114896264219,84772.65351844013,5,20.16
26,Beam,17,0.25,0.5,6.0,16,Steel,873,10,18,21,9.0,158.4,151.8092313971255,158.4,1.0434148077967234,134942.4843346838,4,39.6
27,Beam,11,0.3,0.6,4.0,27,Steel,888,13,10,12,7.2,219.672,228.46246089921752,219.672,0.9615233904746597,221429.9909271043,3,73.224
28,Column,21,0.35,0.55,3.2,10,Steel,950,10,22,24,5.76,63.36,57.856621980083645,63.36,1.0951209702808231,59131.78646448693,3,21.12
29,Beam,14,0.23,0.45,5.0,21,Steel,911,12,15,17,6.8,159.936,151.3453332609946,159.936,1.0567620193758522,164039.1263097496,3,53.312000000000005
30,Column,12,0.4,0.4,2.8,33,Steel,986,9,13,17,4.48,161.146,178.05258198576254,161.146,0.9050472517881575,171615.66318933814,5,32.2292
31,Column,12,0.35,0.55,3.0,19,Steel,980,11,13,15,5.4,113.886,127.9427948663153,113.886,0.890132188522199,118904.36991957478,3,37.961999999999996
32,Wall,6,4.0,0.2,3.0,21,Plywood,532,10,7,9,25.2,582.12,692.8700296333807,582.12,0.84015756939006,340739.5405374485,3,194.04
33,Column,3,0.4,0.4,2.8,12,Steel,965,9,4,6,4.48,58.598,58.46601430085382,58.598,1.0022574772835893,61930.33926995555,3,19.532666666666668
34,Beam,14,0.23,0.6,4.0,20,Steel,969,12,13,15,6.64,148.736,150.39260845104067,148.736,0.988984774796429,140104.84627734663,3,49.57866666666666
35,Beam,23,0.25,0.5,5.0,19,Steel,1006,13,22,26,7.5,161.025,167.60556735320608,161.025,0.9607377758559869,186272.5254221613,5,32.205
36,Column,2,0.4,0.4,3.3,26,Steel,922,8,3,7,5.28,148.262,141.86322079216632,148.262,1.0451052723327638,155613.4920324335,5,29.6524
37,Wall,22,4.0,0.2,3.0,7,Plywood,517,11,22,26,25.2,195.804,183.855345129212,195.804,1.0649894342880843,114321.65526478858,5,39.1608
38,Column,21,0.3,0.6,3.2,23,Steel,912,8,20,24,5.76,143.078,149.18907283036626,143.078,0.9590380668340585,140202.924570413,5,28.6156
39,Wall,7,3.0,0.2,3.0,17,Plywood,484,12,7,11,19.2,365.568,353.89643907415007,365.568,1.0329801592702785,186588.17404072915,5,73.11359999999999
40,Slab,16,7.5,4.0,0.15,1,Plywood,492,16,15,18,3.45,4.002,4.405978682015821,4.002,0.90831124906147,2081.7195902411327,4,1.0005
41,Column,5,0.35,0.55,3.3,13,Steel,1004,11,5,8,5.94,85.714,88.38361187226688,85.714,0.9697951711214853,82011.09849170581,4,21.4285
42,Column,19,0.35,0.55,3.2,37,Steel,928,11,20,23,5.76,236.563,272.000955628209,236.563,0.8697138561650929,230483.6951031864,4,59.14075
43,Column,18,0.3,0.6,2.8,8,Steel,918,10,17,19,5.04,44.352,49.234247341201126,44.352,0.9008363567058031,43758.75175598697,3,14.783999999999999
44,Beam,9,0.23,0.6,4.5,15,Steel,915,10,8,12,7.47,123.255,122.47972511506303,123.255,1.0063298222151351,121996.96532854778,5,24.651
45,Column,2,0.3,0.6,2.8,10,Steel,991,10,3,6,5.04,55.44,63.73814501680498,55.44,0.8698088089225515,55843.60552699256,4,13.86
46,Wall,25,4.5,0.2,3.0,16,Plywood,550,11,25,29,28.2,500.832,571.6643228081514,500.832,0.8760945541253893,287648.381026844,5,100.1664
47,Column,12,0.4,0.4,2.8,33,Steel,983,8,11,15,4.48,159.667,162.26055310338327,159.667,0.9840161206542245,169079.15653764305,5,31.9334
48,Slab,23,7.5,4.0,0.15,1,Plywood,452,15,22,25,3.45,3.968,3.9144257749185623,3.968,1.013686356099715,1857.4954703353817,4,0.992
49,Column,17,0.3,0.6,3.3,30,Steel,932,10,17,19,5.94,196.02,216.55283060675242,196.02,0.905183273064489,208710.7270537655,3,65.34
50,Wall,20,4.0,0.2,3.0,15,Plywood,488,11,19,22,25.2,419.58,395.21320412183826,419.58,1.0616548121976457,223405.8534840861,4,104.895
51,Column,19,0.3,0.45,2.8,31,Steel,936,10,18,22,4.2,143.22,137.4872558275455,143.22,1.041696549530709,127385.37413560344,5,28.644
52,Beam,5,0.3,0.6,5.5,28,Steel,948,10,4,6,9.9,304.92,275.101470987743,304.92,1.1083910198851155,275956.80475198064,3,101.64
53,Beam,10,0.23,0.6,5.0,14,Steel,844,10,11,13,8.3,127.82,145.21340217969697,127.82,0.8802217845004885,117380.00423483686,3,42.60666666666666
